HOSP_NAME,HOSP_TYPE,DISTRICT_NAME,SPECIALTY_NAME,HOSP_CONTACT_NO,HOSP_EMAIL_ID,HOSP_ADDRESS
Agarwal hospital and trauma centre,PrivateP,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ",7895138242,drprakshay@gmail.com,"14/15 bhurarani road , opposite haryana rice mill"
Govil Hospital,PrivateP,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,Paediatric surgery (S14) ,Orthopaedics (S5) ,General Surgery (S1) ",9997740708,govil.tpadesk@gmail.com,"Ramnagar Road, Kashipur"
AMRIT HOSPITAL,PrivateNP,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,Paediatric cancer (M4) ,Paediatric medical management (M2) ,Orthopaedics (S5) ,Medical Oncology (M5) ,General Surgery (S1) ",9359494102,amrithospitalrdr@gmail.com,KASHIPUR ROAD
siddhi vinayak hospital,PrivateP,UDAM SINGH NAGAR,"Paediatric medical management (M2) ,Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ",9012100063,svhkashipur2014@gmail.com,opp. mandi chowki sarwarkhera moradabad road kashipur
KVR Hospital,PrivateP,UDAM SINGH NAGAR,",General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,Paediatric cancer (M4) ,Orthopaedics (S5) ",9045710739,kvrtpa@gmail.com,"Near Reliance Petrol, Moradabad Road, Kashipur "
SWASTIK HOSPITAL,PrivateP,UDAM SINGH NAGAR,Orthopaedics (S5) ,9258747125,swastikhospitalkashipur@gmail.com,"OPP.MAHINDRA TRACTOR AGENCY ,MORADABAD ROAD ,KASHIPUR"
Navya Hospital,PrivateNP,UDAM SINGH NAGAR,"General Surgery                                                 (SG) ,Neo-natal care Packages                                         (MN) ,Paediatric Medical management                                   (MP) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ",8057422783,hospitalnavya@gmail.com,near dhela pul moradabad road
PRAYAS HOSPITAL ,PrivateNP,UDAM SINGH NAGAR,General Medicine                                                (MG) ,8193810007,prayas.hospital13@gmail.com,"Tanakpur Raod, Khatima, Uttarakhand "
ujala hospital,PrivateP,UDAM SINGH NAGAR,"General Medicine                                                (MG) ,Obstetrics   Gynaecology                                        (SO) ,Neo-natal care Packages                                         (MN) ,General Surgery                                                 (SG) ,Orthopaedics                                                    (SB) ,Paediatric Medical management                                   (MP) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Opthalmology                                                    (SE) ,Urology                                                         (SU) ",8958503390,billing.ksp2@ujalahospital.com,"Ramnagar Road, Opp.Govt.Hospital, Kashipur"
Sahota Super Speciality Hospital & Neruotrauma Centre,PrivateP,UDAM SINGH NAGAR,"General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Orthopaedics                                                    (SB) ,Urology                                                         (SU) ,Opthalmology                                                    (SE) ,Cardiology                                                      (MC) ",8193810002,sahotahospitaltpa@gmail.com,Opp jaspur bus stand moradabad road kashipur utarakhand 
SPARSH HOSPITAL AND RESEARCH CENTRE ,PrivateP,UDAM SINGH NAGAR,"Paediatric medical management (M2) ,Opthalmology (S3) ,Paediatric cancer (M4) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Orthopaedics (S5) ",9458998103,tpasparshhospital1@gmail.com,"OPP.BLOCK GATE, SITARGANJ ROAD, KHATIMA"
SH. MULTISPECIALITY HOSPITAL,PrivateP,UDAM SINGH NAGAR,"General Surgery                                                 (SG) ,Orthopaedics                                                    (SB) ,Urology                                                         (SU) ",6397345052,tpashmultispeciality@gmail.com,PILIBHIT ROAD SITARGANJ
KUMAR EYE CARE,PrivateP,UDAM SINGH NAGAR,Opthalmology                                                    (SE) ,8279849899,kumareyecare20@gmail.com,OPP.S.B.I SITARGANJ ROAD KHATIMA
Panth Ratan Baba Harbans Singh ji Baba Tahal Singh ji Charitable Hospital,PrivateNP,UDAM SINGH NAGAR,"General Medicine                                                (MG) ,Polytrauma                                                      (ST) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ,Opthalmology                                                    (SE) ,Orthopaedics                                                    (SB) ,Burns Management                                                (BM) ,Urology                                                         (SU) ",8449093777,panthratannmt@gmail.com,Nanakmata Sahib
Cheema Hospital & Trauma Centre,PrivateP,UDAM SINGH NAGAR,"Orthopaedics                                                    (SB) ,General Medicine                                                (MG) ,Polytrauma                                                      (ST) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ",8860234754,RANVEER.CHEEMA@gmail.com,"446/4, Kichha Road, Bigwara"
DEVKI NANDAN HOSPITAL,PrivateP,UDAM SINGH NAGAR,"General Surgery                                                 (SG) ,Obstetrics   Gynaecology                                        (SO) ,Urology                                                         (SU) ",9837069941,puneet.dnh2@gmail.com,"TEHSIL ROAD ,KASHIPUR"
pragati hospital,PrivateP,UDAM SINGH NAGAR,"Urology                                                         (SU) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ",8449761234,pragatihospitalkashipur@gmail.com,"NEAR DHELA BRIDGE, MORADABAD ROAD, KASHIPUR"
PRAYAS HOSPITAL AND RESEARCH CENTRE,PrivateP,UDAM SINGH NAGAR,"Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,General Medicine                                                (MG) ",7500799462,abhitiwari462@gmail.com,SIDCUL ROAD SITARGANJ UDHAM SINGH NAGAR  UTTARAKHAND 262405
KRISHAN HOSPITAL AND CRITICAL CARE CENTER ,PrivateNP,UDAM SINGH NAGAR,"Paediatric surgery                                              (SS) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ,Plastic   reconstructive Surgery                                (SP) ,Oral and Maxillofacial Surgery                                  (SM) ,Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,Polytrauma                                                      (ST) ,Urology                                                         (SU) ,Infectious Diseases (ID) ,Neo-natal care Packages                                         (MN) ,Paediatric Medical management                                   (MP) ,Burns Management                                                (BM) ,General Medicine                                                (MG) ,Cardiology                                                      (MC) ",9068851444,krishanhospitalandcriticalcare@gmail.com,D1 D2 CIVIL LINES RUDRAPUR
MAHAJAN HOSPITAL,PrivateP,UDAM SINGH NAGAR,"Obstetrics   Gynaecology                                        (SO) ,Orthopaedics                                                    (SB) ,General Surgery                                                 (SG) ,General Medicine                                                (MG) ",9837420201,dropmahajan@gmail.com,BHURARANI ROAD NEAR TRIMURTI PLYWOOD FACTORY
PRAKASH EYE HOSPITAL AND LASER CENTRE,PrivateP,UDAM SINGH NAGAR,Opthalmology                                                    (SE) ,9756656002,PRAKASHEYEHOSPITALRDR@GMAIL.COM,"D1-D2,DOCTOR COLONY,LANE-2,CIVIL LINES"
prime lifecare super speciality hospital,PrivateP,UDAM SINGH NAGAR,"Orthopaedics                                                    (SB) ,Paediatric surgery                                              (SS) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Medicine                                                (MG) ,General Surgery                                                 (SG) ,Paediatric Medical management                                   (MP) ",8126822855,primehospitalkashipur@gmail.com,"KHASRA NO.350, RAMNAGAR ROAD, OPPOSITE BANK COLONY, KACHNALGAZI"
Prabhu Netralaya,PrivateP,UDAM SINGH NAGAR,Opthalmology                                                    (SE) ,9927041631,prabhu.netralaya157@gmail.com,OPP BLOCK GATE SITARGANJ ROAD KHATIMA 
IMAGE EYE HOSPITAL,PrivateP,UDAM SINGH NAGAR,Opthalmology                                                    (SE) ,9457620945,sonali.says@gmail.com,FIRST FLOOR ASHOKA COMPLEX NEAR PWD GUEST HOUSE MORADABAD ROAD KASHIPUR 
PAGIA HOSPITAL,PrivateP,UDAM SINGH NAGAR,"Paediatric Medical management                                   (MP) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Otorhinolaryngology                                             (SL) ,Neo-natal care Packages                                         (MN) ,Infectious Diseases (ID) ,General Medicine                                                (MG) ",7088836333,pagiahospital.tpadesk@gmail.com,Bajpur Road Kashipur 
PRABHU NETRALAYA,PrivateP,UDAM SINGH NAGAR,Opthalmology                                                    (SE) ,7252957731,prabhu.netralayardr157@gmail.com,CIVIL LINES DOCTORS COLONY GALI NO 1 NEAR RUDRA MRI RUDRAPUR
NARULA HOSPITAL,PrivateP,UDAM SINGH NAGAR,General Medicine                                                (MG) ,8126911688,drgurpreet82@gmail.com,RAMNAGAR ROAD KASHIPUR
Swastik Hospital,PrivateP,UDAM SINGH NAGAR,"Orthopaedics                                                    (SB) ,Polytrauma                                                      (ST) ,Infectious Diseases (ID) ,Burns Management                                                (BM) ,General Surgery                                                 (SG) ,Paediatric surgery                                              (SS) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,Neo-natal care Packages                                         (MN) ,Paediatric Medical management                                   (MP) ,Obstetrics   Gynaecology                                        (SO) ,General Medicine                                                (MG) ",7830591111,tpaswastikhospital@gmail.com,"Lohia Head Road, Khatima, Udham Singh Nagar"
GAUTAM HOSPITAL,PrivateP,UDAM SINGH NAGAR,"Neo-natal care Packages                                         (MN) ,Emergency Room Packages (Care requiring less than 12 hrs stay)  (ER) ,General Surgery                                                 (SG) ,Opthalmology                                                    (SE) ,General Medicine                                                (MG) ,Paediatric Medical management                                   (MP) ,Orthopaedics                                                    (SB) ",7017360015,hr.gautamhospital@gmail.com,"GAUTAM HOSPITAL,KICHHA ROAD, NEAR RADHA SWAMI SATSANG, BIGWARA"
S K HOSPITAL,PrivateP,UDAM SINGH NAGAR,"General Surgery                                                 (SG) ,General Medicine                                                (MG) ",9927138436,skhospitaltpa54@gmail.com,"BELJUDI, JASPUR MOD, KASHIPUR"
THE MEDICITY RUDRAPUR,PrivateP,UDAM SINGH NAGAR,"Urology                                                         (SU) ,Orthopaedics                                                    (SB) ,Obstetrics   Gynaecology                                        (SO) ,General Surgery                                                 (SG) ,Cardiology                                                      (MC) ,Neurosurgery                                                    (SN) ,General Medicine                                                (MG) ,Paediatric Medical management                                   (MP) ,Surgical Oncology                                               (SC) ,Opthalmology                                                    (SE) ",7060081017,cao.medicity@gmail.com,TEEN PANI KICHHA ROAD
SHREE  KRISHNA HOSPITAL,PrivateP,UDAM SINGH NAGAR,"Radiation Oncology (M6) ,General Surgery (S1) ",8958800041,skhospitalkashipur@gmail.com,OPPOSITE CHAMUNDA MANDIR
DR. TURNA SURGICAL HOSPITAL ,PrivateP,UDAM SINGH NAGAR,"Orthopaedics (S5) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ,Paediatric medical management (M2) ",9837058497,advocatebedig@gmail.com,KICHHA ROAD SITARGANJ DISTT UDHAM SINGH NAGAR 
maharaja agrasen charitable hospital,PrivateNP,UDAM SINGH NAGAR,"Obstetrics & Gynaecology (S4) ,,Paediatric cancer (M4) ,Paediatric medical management (M2) ,General Medicine (M1) ,,Oral and Maxillofacial Surgery (S16) ,Surgical Oncology (S15) ,Orthopaedics (S5) ,General Surgery (S1) ,Otorhinolaryngology (S2) ,Opthalmology (S3) ",7011766292,maharajaagrasenhospitalrdr@gmail.com,agrasen nagar kichha road rudrapur
Prakash Hospital & Research Foundation,PrivateP,UDAM SINGH NAGAR,"General Surgery                                                 (SG) ,General Medicine                                                (MG) ,Orthopaedics                                                    (SB) ,Obstetrics   Gynaecology                                        (SO) ,Paediatric Medical management                                   (MP) ",8439599446,prakash.hospital444@gmail.com,MORADABAD ROAD
CHC Chinyalisour,Public,UTTAR KASHI,,8979353440,chc.chinyalisour@gmail.com,CHC Chinyalisour
Community Health Center Naugaon,Public,UTTAR KASHI,,8755805188,ictcnaugaon@gmail.com,"CHCX Naugaon Uttarkashi ,Uttarkhand"
CHC Purola,Public,UTTAR KASHI,",Paediatric cancer (M4) ",8006190781,chcpurola01@gmail.com,Community Health Centre Purola
District Hospital Uttarkashi,Public,UTTAR KASHI,"Otorhinolaryngology (S2) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,Paediatric medical management (M2) ,Orthopaedics (S5) ,Opthalmology (S3) ",9412394912,cms.dhuki@gmail.com,DISTRICT HOSPITAL UTTARKASHI
